 ft_cal_cr_wrap_h15_v2 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v2 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:2 |
 ft_cal_cr_h15_v2 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v2 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 2 | na | na | na | na | 1 | PbWO4 crystal h:15, v:2 |
 ft_cal_cr_ledHousing_h15_v2 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v2 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:2 |
 ft_cal_cr_motherVolume_h15_v3 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, -130.05*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:3 |
 ft_cal_cr_apd_h15_v3 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, -130.05*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:3 |
 ft_cal_cr_wrap_h15_v3 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v3 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:3 |
 ft_cal_cr_h15_v3 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v3 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 3 | na | na | na | na | 1 | PbWO4 crystal h:15, v:3 |
 ft_cal_cr_ledHousing_h15_v3 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v3 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:3 |
 ft_cal_cr_motherVolume_h15_v4 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, -114.75*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:4 |
 ft_cal_cr_apd_h15_v4 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, -114.75*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:4 |
 ft_cal_cr_wrap_h15_v4 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v4 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:4 |
 ft_cal_cr_h15_v4 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v4 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 4 | na | na | na | na | 1 | PbWO4 crystal h:15, v:4 |
 ft_cal_cr_ledHousing_h15_v4 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v4 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:4 |
 ft_cal_cr_motherVolume_h15_v5 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, -99.45*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:5 |
 ft_cal_cr_apd_h15_v5 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, -99.45*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:5 |
 ft_cal_cr_wrap_h15_v5 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v5 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:5 |
 ft_cal_cr_h15_v5 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v5 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 5 | na | na | na | na | 1 | PbWO4 crystal h:15, v:5 |
 ft_cal_cr_ledHousing_h15_v5 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v5 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:5 |
 ft_cal_cr_motherVolume_h15_v6 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, -84.15*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:6 |
 ft_cal_cr_apd_h15_v6 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, -84.15*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:6 |
 ft_cal_cr_wrap_h15_v6 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v6 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:6 |
 ft_cal_cr_h15_v6 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v6 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 6 | na | na | na | na | 1 | PbWO4 crystal h:15, v:6 |
 ft_cal_cr_ledHousing_h15_v6 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v6 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:6 |
 ft_cal_cr_motherVolume_h15_v7 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, -68.85000000000001*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:7 |
 ft_cal_cr_apd_h15_v7 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, -68.85000000000001*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:7 |
 ft_cal_cr_wrap_h15_v7 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v7 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:7 |
 ft_cal_cr_h15_v7 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v7 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 7 | na | na | na | na | 1 | PbWO4 crystal h:15, v:7 |
 ft_cal_cr_ledHousing_h15_v7 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v7 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:7 |
 ft_cal_cr_motherVolume_h15_v8 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, -53.550000000000004*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:8 |
 ft_cal_cr_apd_h15_v8 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, -53.550000000000004*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:8 |
 ft_cal_cr_wrap_h15_v8 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v8 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:8 |
 ft_cal_cr_h15_v8 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v8 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 8 | na | na | na | na | 1 | PbWO4 crystal h:15, v:8 |
 ft_cal_cr_ledHousing_h15_v8 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v8 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:8 |
 ft_cal_cr_motherVolume_h15_v9 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, -38.25*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:9 |
 ft_cal_cr_apd_h15_v9 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, -38.25*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:9 |
 ft_cal_cr_wrap_h15_v9 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v9 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:9 |
 ft_cal_cr_h15_v9 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v9 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 9 | na | na | na | na | 1 | PbWO4 crystal h:15, v:9 |
 ft_cal_cr_ledHousing_h15_v9 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v9 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:9 |
 ft_cal_cr_motherVolume_h15_v14 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, 38.25*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:14 |
 ft_cal_cr_apd_h15_v14 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, 38.25*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:14 |
 ft_cal_cr_wrap_h15_v14 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v14 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:14 |
 ft_cal_cr_h15_v14 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v14 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 14 | na | na | na | na | 1 | PbWO4 crystal h:15, v:14 |
 ft_cal_cr_ledHousing_h15_v14 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v14 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:14 |
 ft_cal_cr_motherVolume_h15_v15 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, 53.550000000000004*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:15 |
 ft_cal_cr_apd_h15_v15 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, 53.550000000000004*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:15 |
 ft_cal_cr_wrap_h15_v15 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v15 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:15 |
 ft_cal_cr_h15_v15 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v15 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 15 | na | na | na | na | 1 | PbWO4 crystal h:15, v:15 |
 ft_cal_cr_ledHousing_h15_v15 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v15 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:15 |
 ft_cal_cr_motherVolume_h15_v16 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, 68.85000000000001*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:16 |
 ft_cal_cr_apd_h15_v16 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, 68.85000000000001*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:16 |
 ft_cal_cr_wrap_h15_v16 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v16 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:16 |
 ft_cal_cr_h15_v16 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v16 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 16 | na | na | na | na | 1 | PbWO4 crystal h:15, v:16 |
 ft_cal_cr_ledHousing_h15_v16 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v16 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:16 |
 ft_cal_cr_motherVolume_h15_v17 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, 84.15*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:17 |
 ft_cal_cr_apd_h15_v17 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, 84.15*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:17 |
 ft_cal_cr_wrap_h15_v17 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v17 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:17 |
 ft_cal_cr_h15_v17 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v17 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 17 | na | na | na | na | 1 | PbWO4 crystal h:15, v:17 |
 ft_cal_cr_ledHousing_h15_v17 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v17 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:17 |
 ft_cal_cr_motherVolume_h15_v18 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, 99.45*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:18 |
 ft_cal_cr_apd_h15_v18 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, 99.45*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:18 |
 ft_cal_cr_wrap_h15_v18 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v18 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:18 |
 ft_cal_cr_h15_v18 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v18 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 18 | na | na | na | na | 1 | PbWO4 crystal h:15, v:18 |
 ft_cal_cr_ledHousing_h15_v18 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v18 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:18 |
 ft_cal_cr_motherVolume_h15_v19 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, 114.75*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:19 |
 ft_cal_cr_apd_h15_v19 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, 114.75*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:19 |
 ft_cal_cr_wrap_h15_v19 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v19 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:19 |
 ft_cal_cr_h15_v19 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v19 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 19 | na | na | na | na | 1 | PbWO4 crystal h:15, v:19 |
 ft_cal_cr_ledHousing_h15_v19 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v19 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:19 |
 ft_cal_cr_motherVolume_h15_v20 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, 130.05*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:20 |
 ft_cal_cr_apd_h15_v20 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, 130.05*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:20 |
 ft_cal_cr_wrap_h15_v20 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v20 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:20 |
 ft_cal_cr_h15_v20 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v20 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 20 | na | na | na | na | 1 | PbWO4 crystal h:15, v:20 |
 ft_cal_cr_ledHousing_h15_v20 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v20 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:20 |
 ft_cal_cr_motherVolume_h15_v21 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 53.550000000000004*mm, 145.35*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:15, v:21 |
 ft_cal_cr_apd_h15_v21 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 53.550000000000004*mm, 145.35*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:15, v:21 |
 ft_cal_cr_wrap_h15_v21 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h15_v21 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:15, v:21 |
 ft_cal_cr_h15_v21 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h15_v21 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 15, iv: 21 | na | na | na | na | 1 | PbWO4 crystal h:15, v:21 |
 ft_cal_cr_ledHousing_h15_v21 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h15_v21 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:15, v:21 |
 ft_cal_cr_motherVolume_h16_v2 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | 68.85000000000001*mm, -145.35*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:16, v:2 |
 ft_cal_cr_apd_h16_v2 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | 68.85000000000001*mm, -145.35*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:16, v:2 |
 ft_cal_cr_wrap_h16_v2 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h16_v2 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:16, v:2 |
